; 1.00
43665; 1.00
43678; 1.00
43692; 1.00
43706; 1.00
43719; 1.00
43732; 1.00
43746; 10; 1.00
0; 1.00
1; 1.00
1; 1.00
1; 1.00
2; 1.00
2; 1.00
3; 1.00
7; 1.00
16; 1.00
26; 1.00
36; 1.00
48; 1.00
58; 1.00
68; 1.00
78; 1.00
89; 1.00
99; 1.00
110; 1.00
121; 1.00
133; 1.00
144; 1.00
155; 1.00
166; 1.00
179; 1.00
190; 1.00
201; 1.00
212; 1.00
224; 1.00
235; 1.00
247; 1.00
259; 1.00
270; 1.00
281; 1.00
292; 1.00
304; 1.00
316; 1.00
327; 1.00
338; 1.00
350; 1.00
361; 1.00
373; 1.00
385; 1.00
396; 1.00
407; 1.00
418; 1.00
430; 1.00
442; 1.00
453; 1.00
464; 1.00
476; 1.00
487; 1.00
498; 1.00
510; 1.00
522; 1.00
533; 1.00
544; 1.00
556; 1.00
567; 1.00
579; 1.00
590; 1.00
602; 1.00
613; 1.00
624; 1.00
635; 1.00
648; 2.00
659; 1.00
670; 1.00
681; 1.00
693; 1.00
704; 1.00
716; 1.00
728; 1.00
739; 1.00
750; 1.00
761; 1.00
774; 1.00
785; 1.00
796; 1.00
807; 1.00
819; 1.00
830; 1.00
842; 1.00
854; 1.00
865; 1.00
876; 1.00
887; 1.00
899; 1.00
911; 1.00
922; 1.00
933; 1.00
945; 1.00
956; 1.00
967; 1.00
979; 1.00
991; 1.00
1002; 1.00
1014; 1.00
1027; 1.00
1040; 1.00
1052; 1.00
1064; 1.00
1077; 1.00
1089; 1.00
1101; 1.00
1115; 1.00
1127; 1.00
1139; 1.00
1152; 1.00
1164; 1.00
1177; 1.00
1189; 1.00
1202; 1.00
1214; 1.00
1226; 1.00
1240; 1.00
1252; 1.00
1264; 1.00
1276; 1.00
1289; 1.00
1301; 4.00
1314; 4.00
1327; 4.00
1339; 3.00
1351; 4.00
1363; 3.00
1377; 4.00
1389; 3.00
1401; 4.00
1414; 4.00
1426; 5.00
1439; 4.00
1452; 4.00
1464; 4.00
1476; 4.00
1488; 4.00
1501; 4.00
1514; 4.00
1526; 4.00
1539; 4.00
1551; 4.00
1563; 4.00
1576; 4.00
1589; 4.00
1601; 4.00
1613; 4.00
1626; 4.00
1639; 4.00
1651; 4.00
1664; 4.00
1676; 4.00
1688; 4.00
1700; 4.00
1714; 4.00
1726; 4.00
1738; 4.00
1751; 4.00
1763; 4.00
1776; 4.00
1788; 4.00
1801; 4.00
1813; 4.00
1825; 4.00
1839; 4.00
1851; 4.00
1863; 4.00
1875; 4.00
1888; 4.00
1900; 4.00
1913; 4.00
1926; 4.00
1938; 4.00
1950; 4.00
1963; 4.00
1976; 4.00
1988; 5.00
2000; 4.00
2013; 5.00
2025; 4.00
2038; 4.00
2051; 4.00
2063; 3.00
2075; 4.00
2087; 4.00
2100; 4.00
2113; 4.00
2125; 4.00
2138; 4.00
2150; 4.00
2162; 4.00
2176; 4.00
2188; 4.00
2200; 4.00
2212; 4.00
2225; 4.00
2238; 4.00
2250; 4.00
2263; 4.00
2275; 4.00
2287; 4.00
2299; 4.00
2313; 4.00
2325; 4.00
2337; 4.00
2350; 4.00
2362; 4.00
2375; 4.00
2387; 4.00
2400; 4.00
2412; 4.00
2424; 4.00
2438; 4.00
2450; 4.00
2462; 4.00
2475; 4.00
2487; 4.00
2499; 4.00
2512; 4.00
2525; 4.00
2537; 4.00
2549; 4.00
2562; 4.00
2575; 4.00
2587; 4.00
2599; 4.00
2612; 4.00
2624; 4.00
2637; 4.00
2650; 4.00
2662; 4.00
2674; 4.00
2686; 4.00
2699; 4.00
2712; 4.00
2724; 4.00
2737; 4.00
2749; 4.00
2761; 4.00
2775; 4.00
2787; 4.00
2799; 4.00
2811; 4.00
2824; 4.00
2837; 4.00
2849; 4.00
2862; 4.00
2874; 4.00
2886; 4.00
2898; 4.00
2912; 4.00
2924; 4.00
2936; 4.00
2949; 4.00
2961; 4.00
2974; 4.00
2987; 4.00
2999; 4.00
3011; 4.00
3023; 4.00
3037; 4.00
3049; 4.00
3061; 4.00
3074; 4.00
3086; 4.00
3098; 4.00
3111; 4.00
3124; 4.00
3136; 4.00
3148; 4.00
3161; 4.00
3174; 4.00
3186; 4.00
3198; 4.00
3211; 4.00
3223; 4.00
3236; 4.00
3249; 4.00
3261; 4.00
3273; 4.00
3286; 4.00
3298; 4.00
3311; 1.00
3323; 1.00
3336; 1.00
3348; 1.00
3360; 1.00
3374; 1.00
3386; 1.00
3398; 1.00
3410; 1.00
3423; 1.00
3436; 1.00
3448; 1.00
3461; 1.00
3473; 1.00
3485; 1.00
3497; 1.00
3511; 1.00
3523; 1.00
3535; 1.00
3548; 1.00
3560; 1.00
3573; 1.00
3586; 1.00
3598; 1.00
3610; 1.00
